francais	2	01 40 41 10 36	109 rue st honore	1	taverne de l'arbre sec	3.5	chatelet les halles
hotels  bars  francais	4	01 42 44 50 00	239 rue saint-honore	1	hotel costes	3.5	place vendome
petit dejeuner & brunch  cafes	3	01 42 33 55 10	14 rue jean-jacques rousseau	1	claus - la table du petit-dejeuner	4.5	palais royal musee du louvre
creperies  cafes et thes	2	09 84 08 02 84	24 quai du louvre	1	coffee crepes	4.0	1er
francais	2	01 42 36 93 89	28 rue coquilliere	1	a la cloche des halles	4.0	chatelet les halles
francais	4	01 43 29 78 81	72 quai des orfevres	1	sequana	5.0	1er
francais  petit dejeuner & brunch  brasseries	1	01 42 21 19 33	12-14 rue de la ferronnerie	1	maison rouge	4.5	chatelet les halles
francais	3	01 45 08 53 08	17 rue des lavandieres-sainte-opportune	1	au vieux comptoir	4.0	chatelet les halles
japonais  sushis	2	01 45 08 88 87	55 boulevard de sebastopol	1	forum sushi	4.5	chatelet les halles
brasseries	2	01 42 61 34 14	2 place colette	1	le nemours	3.5	palais royal musee du louvre
americain traditionnel   vendeur de rue  burger	2	####	marche st honore marche raspail	1	cantine california	4.0	place vendome
francais	3	01 42 60 12 87	4 rue la sourdiere	1	la sourdiere	4.0	palais royal musee du louvre
brasseries  cafes  cafes et thes	1	01 42 60 26 11	154 rue rivoli	1	cafe la colonnade	4.0	chatelet les halles
francais  bars a vins	4	09 53 84 21 19	36 rue croix des petits champs	1	le pot de vins	4.5	palais royal musee du louvre
brasseries  bars a vins	2	01 42 33 15 05	1 rue montorgueil	1	la pointe saint-eustache	4.0	chatelet les halles
bistrot  cuisine europeenne moderne  francais	3	01 42 36 49 44	10 rue de richelieu	1	zebulon	4.5	palais royal musee du louvre
bars a vins  petites assiettes et planches	2	01 42 97 54 40	47 rue montpensier	1	verjus	4.5	palais royal musee du louvre
restaurants	3	01 42 33 02 99	123 rue st honore	1	chez gabriel	5.0	chatelet les halles
italien	3	01 42 60 57 12	6 rue echelle	1	le montegrosso	4.0	palais royal musee du louvre
cafes  bars	1	01 42 60 49 77	173 rue st honore	1	a jean nicot	4.0	palais royal musee du louvre
francais	2	01 42 60 05 11	4 rue beaujolais	1	a casaluna	4.0	palais royal musee du louvre
ramen	2	01 40 20 98 88	53 rue des petits champs	1	hakata choten	4.0	palais royal musee du louvre
brasseries	2	01 42 36 91 69	15 rue halles	1	le bistrot des halles	4.0	chatelet les halles
japonais	3	01 42 61 93 99	8 rue de l'Echelle	1	zen	4.0	palais royal musee du louvre
francais	3	01 40 26 47 81	5 rue mondetour	1	pirouette	4.0	chatelet les halles
cuisine europeenne moderne	3	01 42 60 38 81	6 rue valois	1	balm	4.0	palais royal musee du louvre
brasseries  bars a bieres  belge	2	01 42 33 08 50	4 rue saint denis	1	au trappiste	3.5	chatelet les halles
bars a cocktails  karaoke  francais	1	01 53 40 81 56	8 place ste opportune	1	le beho	4.0	chatelet les halles
francais	3	01 49 26 06 60	93 rue de rivoli	1	le cafe marly	3.0	1er
bistrot  francais	2	01 42 61 37 17	14 rue mondetour	1	ag les halles	4.5	chatelet les halles
francais  bbq & grillades  bistrot	3	01 76 21 77 60	10 rue gomboust	1	cafe des abattoirs	4.0	place vendome
allemand  patisseries	2	01 42 60 09 85	31 rue de richelieu	1	le stube	4.0	palais royal musee du louvre
brasseries  cafes  francais	2	01 40 26 30 74	27 rue du pont-neuf	1	le mimosa	4.0	chatelet les halles
francais	3	01 42 60 68 22	235 rue saint honore	1	le castiglione	3.5	place vendome
francais	3	01 42 60 15 78	1 rue bailleul	1	chez la vieille	4.0	chatelet les halles
japonais  peruvien  bars a cocktails	4	01 40 15 08 15	7 rue du 29 juillet	1	uma	4.0	place vendome
francais	3	01 42 61 35 41	43 rue croix des petits champs	1	les fines gueules	4.0	bourse
creperies	2	01 42 36 91 18	37 rue mauconseil	1	creperie paris montorgueil	4.0	chatelet les halles
pizza  cuisine napolitaine	1	01 42 86 80 80	11 rue danielle casanova	1	mipi	4.0	place vendome
francais	2	01 42 33 02 62	1 rue prouvaires	1	gros minet	4.0	chatelet les halles
italien	3	01 42 61 16 80	7 rue du chevalier saint-georges	1	romantica caffe	4.5	concorde madeleine
francais	4	01 42 33 14 74	5 rue coq heron	1	kei	4.5	chatelet les halles
fruits de mer  brasseries	3	01 40 13 77 00	6 rue coquilliere	1	au pied de cochon	3.0	chatelet les halles
boulangeries-patisseries  sandwichs	1	01 42 60 77 40	168 rue saint-honore	1	aux castelblangeois	4.0	palais royal musee du louvre
chinois	2	01 42 60 18 20	4 rue perrault	1	le shanghai hang-zhou	4.0	chatelet les halles
francais  brasseries	3	01 42 60 80 89	2 rue cambon	1	flottes	3.0	concorde madeleine
francais	3	01 42 97 53 85	15 rue petits champs	1	maceo	4.0	palais royal musee du louvre
fast food  boulangeries-patisseries	1	01 42 33 08 00	176 rue de rivoli	1	rivoli caffe	3.5	1er
bars  espagnol	2	01 84 06 27 68	5 rue des pyramides	1	el tonel	4.0	palais royal musee du louvre
francais  petit dejeuner & brunch  bars a tapas	3	01 42 60 47 21	12-14 rue du marche saint honore	1	nomad's	4.0	place vendome
francais  bistrot	3	01 42 60 08 00	8 rue jean-jacques rousseau	1	les petits plats d'emile	4.0	palais royal musee du louvre
cafes  salons de the	1	01 40 15 62 31	51 galerie de montpensier	1	cafe kitsune	3.5	palais royal musee du louvre
japonais	3	01 40 15 90 75	5 rue villedo	1	kunitoraya	4.5	palais royal musee du louvre
coreen	2	01 42 61 04 18	12 rue gomboust	1	kook il kwan	4.0	place vendome
francais	4	01 42 60 40 40	20 rue du louvre	1	la dame de pic	4.5	chatelet les halles
